字符串	类型	编码	出现次数	来源
46	数值	big5	29	data/Machine_group.csv@L16 | data/Machine_type.csv@L101 | data/Machine_type.csv@L128 | data/Machine_type.csv@L136 | data/Machine_type.csv@L153 | data/Machine_type.csv@L181 ...
57	数值	big5	29	data/Machine_group.csv@L5 | data/Machine_type.csv@L103 | data/Machine_type.csv@L114 | data/Machine_type.csv@L128 | data/Machine_type.csv@L138 | data/Machine_type.csv@L183 ...
99	数值	big5	29	data/Machine_group.csv@L18 | data/Machine_type.csv@L101 | data/Machine_type.csv@L221 | data/Machine_type.csv@L41 | data/Mur.csv@L30 | data/Mur.csv@L42 ...
UNUSE_OBJ13,	ASCII	ascii	29	Face/Bank.h@L14 | Face/FirmLoadArea_ItemBoard.h@L4 | Face/FirmMachine.h@L12 | Face/MyFirmInfo-Mine.h@L14 | Face/MyFirmReport.h@L15 | Face/ProductBook_Board.h@L4 ...
UNUSE_OBJ9,	ASCII	ascii	29	Face/Bank.h@L10 | Face/CompanyInfo.h@L10 | Face/EnemyFirmInfo.h@L10 | Face/FirmMachine.h@L10 | Face/GameSetting.h@L10 | Face/MyFirmInfo-Mine.h@L10 ...
印刷機	中文	big5	29	data/Machine_group.csv@L15 | data/Machine_type.csv@L282 | data/Machine_type.csv@L283 | data/Machine_type.csv@L284 | data/Machine_type.csv@L285 | data/Machine_type.csv@L286 ...
1985	数值	big5	28	data/Machine_type.csv@L104 | data/Machine_type.csv@L105 | data/Machine_type.csv@L129 | data/Machine_type.csv@L130 | data/Machine_type.csv@L154 | data/Machine_type.csv@L155 ...
2035	数值	big5	28	data/Machine_type.csv@L100 | data/Machine_type.csv@L124 | data/Machine_type.csv@L125 | data/Machine_type.csv@L149 | data/Machine_type.csv@L150 | data/Machine_type.csv@L174 ...
37	数值	big5	28	data/Machine_group.csv@L16 | data/Machine_type.csv@L158 | data/Machine_type.csv@L168 | data/Machine_type.csv@L287 | data/Machine_type.csv@L308 | data/Machine_type.csv@L333 ...
0016	数值	ascii	27	stage/stage04.stg@seg893+0x0 | stage/stage06.stg@seg1554+0x0 | stage/stage06.stg@seg1966+0x0 | stage/stage06.stg@seg2345+0x0 | stage/stage06.stg@seg2694+0x0 | stage/stage06.stg@seg2859+0x0 ...
1970	数值	big5	27	data/Machine_type.csv@L107 | data/Machine_type.csv@L108 | data/Machine_type.csv@L132 | data/Machine_type.csv@L133 | data/Machine_type.csv@L157 | data/Machine_type.csv@L158 ...
2500	数值	big5	27	data/Machine_type.csv@L157 | data/Machine_type.csv@L158 | data/Machine_type.csv@L159 | data/Machine_type.csv@L160 | data/Machine_type.csv@L161 | data/Machine_type.csv@L286 ...
35	数值	big5	27	data/Machine_group.csv@L2 | data/Machine_type.csv@L161 | data/Machine_type.csv@L201 | data/Machine_type.csv@L297 | data/Machine_type.csv@L37 | data/Machine_type.csv@L61 ...
=8-L	ASCII	ascii	27	CEO.exe@RVA 17F44 | CEO.exe@RVA 194B8 | CEO.exe@RVA 1B382 | CEO.exe@RVA 1C20A | CEO.exe@RVA 1E06E | CEO.exe@RVA 1E33 ...
UNUSE_OBJ10,	ASCII	ascii	27	Face/Bank.h@L11 | Face/FirmMachine.h@L11 | Face/GameSetting.h@L11 | Face/MyFirmReport.h@L12 | Face/ProductBook.h@L19 | Face/balance_info.h@L11 ...
150	数值	big5	26	data/AI_style.csv@L13 | data/AI_style.csv@L15 | data/AI_style.csv@L16 | data/AI_style.csv@L17 | data/AI_style.csv@L6 | data/AI_style.csv@L7 ...
UNUSE_OBJ14,	ASCII	ascii	26	Face/CompanyInfo.h@L12 | Face/FirmLoadArea_ItemBoard.h@L5 | Face/FirmMachine.h@L13 | Face/MyFirmReport.h@L16 | Face/ProductBook_Board.h@L5 | Face/RetailMachine.h@L15 ...
電腦機	中文	big5	26	data/Machine_group.csv@L10 | data/Machine_type.csv@L177 | data/Machine_type.csv@L178 | data/Machine_type.csv@L179 | data/Machine_type.csv@L180 | data/Machine_type.csv@L181 ...
1955	数值	big5	25	data/Machine_type.csv@L104 | data/Machine_type.csv@L105 | data/Machine_type.csv@L129 | data/Machine_type.csv@L130 | data/Machine_type.csv@L154 | data/Machine_type.csv@L155 ...
1995	数值	big5	25	data/Machine_type.csv@L114 | data/Machine_type.csv@L115 | data/Machine_type.csv@L139 | data/Machine_type.csv@L140 | data/Machine_type.csv@L164 | data/Machine_type.csv@L165 ...
2061	数值	big5	25	data/Machine_type.csv@L162 | data/Machine_type.csv@L163 | data/Machine_type.csv@L164 | data/Machine_type.csv@L165 | data/Machine_type.csv@L166 | data/Machine_type.csv@L187 ...
2250	数值	big5	25	data/Machine_type.csv@L162 | data/Machine_type.csv@L163 | data/Machine_type.csv@L164 | data/Machine_type.csv@L165 | data/Machine_type.csv@L166 | data/Machine_type.csv@L290 ...
2624	数值	big5	25	data/Machine_type.csv@L112 | data/Machine_type.csv@L113 | data/Machine_type.csv@L114 | data/Machine_type.csv@L115 | data/Machine_type.csv@L116 | data/Machine_type.csv@L162 ...
2778	数值	big5	25	data/Machine_type.csv@L152 | data/Machine_type.csv@L153 | data/Machine_type.csv@L154 | data/Machine_type.csv@L155 | data/Machine_type.csv@L156 | data/Machine_type.csv@L282 ...
SVWP	ASCII	ascii	25	CEO.exe@RVA 10D21 | CEO.exe@RVA 1D091 | CEO.exe@RVA 1D7D1 | CEO.exe@RVA 1EF71 | CEO.exe@RVA 23BB1 | CEO.exe@RVA 25A21 ...
精工機	中文	big5	25	data/Machine_group.csv@L18 | data/Machine_type.csv@L352 | data/Machine_type.csv@L353 | data/Machine_type.csv@L354 | data/Machine_type.csv@L355 | data/Machine_type.csv@L356 ...
0018	数值	ascii	24	stage/stage04.stg@seg831+0x0 | stage/stage06.stg@seg1520+0x0 | stage/stage06.stg@seg1910+0x0 | stage/stage06.stg@seg2297+0x0 | stage/stage06.stg@seg2637+0x0 | stage/stage06.stg@seg2820+0x0 ...
1312	数值	big5	24	data/Machine_type.csv@L202 | data/Machine_type.csv@L203 | data/Machine_type.csv@L204 | data/Machine_type.csv@L205 | data/Machine_type.csv@L206 | data/Machine_type.csv@L217 ...
1458	数值	big5	24	data/Machine_type.csv@L197 | data/Machine_type.csv@L198 | data/Machine_type.csv@L199 | data/Machine_type.csv@L200 | data/Machine_type.csv@L201 | data/Machine_type.csv@L212 ...
1620	数值	big5	24	data/Machine_type.csv@L192 | data/Machine_type.csv@L193 | data/Machine_type.csv@L194 | data/Machine_type.csv@L195 | data/Machine_type.csv@L196 | data/Machine_type.csv@L207 ...
1822	数值	big5	24	data/Machine_type.csv@L172 | data/Machine_type.csv@L173 | data/Machine_type.csv@L174 | data/Machine_type.csv@L175 | data/Machine_type.csv@L176 | data/Machine_type.csv@L298 ...
1975	数值	big5	24	data/Machine_type.csv@L109 | data/Machine_type.csv@L110 | data/Machine_type.csv@L134 | data/Machine_type.csv@L135 | data/Machine_type.csv@L159 | data/Machine_type.csv@L160 ...
2045	数值	big5	24	data/Machine_type.csv@L119 | data/Machine_type.csv@L120 | data/Machine_type.csv@L144 | data/Machine_type.csv@L145 | data/Machine_type.csv@L169 | data/Machine_type.csv@L170 ...
2291	数值	big5	24	data/Machine_type.csv@L157 | data/Machine_type.csv@L158 | data/Machine_type.csv@L159 | data/Machine_type.csv@L160 | data/Machine_type.csv@L161 | data/Machine_type.csv@L182 ...
2546	数值	big5	24	data/Machine_type.csv@L152 | data/Machine_type.csv@L153 | data/Machine_type.csv@L154 | data/Machine_type.csv@L155 | data/Machine_type.csv@L156 | data/Machine_type.csv@L177 ...
2916	数值	big5	24	data/Machine_type.csv@L107 | data/Machine_type.csv@L108 | data/Machine_type.csv@L109 | data/Machine_type.csv@L110 | data/Machine_type.csv@L111 | data/Machine_type.csv@L157 ...
3241	数值	big5	24	data/Machine_type.csv@L102 | data/Machine_type.csv@L103 | data/Machine_type.csv@L104 | data/Machine_type.csv@L105 | data/Machine_type.csv@L106 | data/Machine_type.csv@L152 ...
UNUSE_OBJ11,	ASCII	ascii	24	Face/Bank.h@L12 | Face/CompanyInfo.h@L11 | Face/MyFirmInfo-Mine.h@L12 | Face/MyFirmReport.h@L13 | Face/balance_info.h@L12 | Face/face_retailmachine.h@L12 ...
UNUSE_OBJ12,	ASCII	ascii	24	Face/Bank.h@L13 | Face/FirmBoard.h@L13 | Face/MyFirmReport.h@L14 | Face/balance_info.h@L13 | Face/face_machine.h@L13 | Face/face_machine_introduce.h@L13 ...
UNUSE_OBJ15,	ASCII	ascii	24	Face/Bank.h@L16 | Face/FirmLoadArea_ItemBoard.h@L6 | Face/FirmMachine.h@L14 | Face/MyFirmReport.h@L17 | Face/balance_info.h@L16 | Face/face_machine.h@L16 ...
七十一企業	中文	big5	23	data/AIInfo.csv@L5 | data/txts.csv@L5 | stage/stage00.stg@seg172+0x2 | stage/stage01.stg@seg221+0x2 | stage/stage02.stg@seg747+0x2 | stage/stage03.stg@seg553+0x2 ...
單菱商社	中文	big5	23	data/AIInfo.csv@L2 | data/txts.csv@L2 | stage/stage00.stg@seg67+0x2 | stage/stage01.stg@seg131+0x2 | stage/stage02.stg@seg4+0x2 | stage/stage03.stg@seg259+0x2 ...
微硬公司	中文	big5	23	data/AIInfo.csv@L6 | data/txts.csv@L6 | stage/stage00.stg@seg173+0x2 | stage/stage01.stg@seg222+0x2 | stage/stage02.stg@seg936+0x2 | stage/stage03.stg@seg626+0x2 ...
敗耳企業	中文	big5	23	data/AIInfo.csv@L7 | data/txts.csv@L7 | stage/stage00.stg@seg174+0x2 | stage/stage01.stg@seg223+0x2 | stage/stage02.stg@seg937+0x2 | stage/stage03.stg@seg627+0x2 ...
民房	中文	big5	23	data/building.csv@L70 | data/building.csv@L71 | data/building.csv@L72 | data/building.csv@L73 | data/building.csv@L74 | data/building.csv@L75 ...
耐急企業	中文	big5	23	data/AIInfo.csv@L3 | data/txts.csv@L3 | stage/stage00.stg@seg170+0x2 | stage/stage01.stg@seg219+0x2 | stage/stage02.stg@seg298+0x2 | stage/stage03.stg@seg440+0x2 ...
風力富企業	中文	big5	23	data/AIInfo.csv@L4 | data/txts.csv@L4 | stage/stage00.stg@seg171+0x2 | stage/stage01.stg@seg220+0x2 | stage/stage02.stg@seg508+0x2 | stage/stage03.stg@seg441+0x2 ...
01	数值	big5	22	data/Stages.csv@L3 | data/Talk.csv@L10 | data/Talk.csv@L11 | data/Talk.csv@L12 | data/Talk.csv@L13 | data/Talk.csv@L14 ...
1960	数值	big5	22	data/Machine_type.csv@L106 | data/Machine_type.csv@L131 | data/Machine_type.csv@L156 | data/Machine_type.csv@L211 | data/Machine_type.csv@L236 | data/Machine_type.csv@L261 ...
51	数值	big5	22	data/Machine_group.csv@L5 | data/Machine_type.csv@L103 | data/Machine_type.csv@L264 | data/Machine_type.csv@L269 | data/Machine_type.csv@L272 | data/Machine_type.csv@L357 ...
BTN_EXIT,	ASCII	ascii	22	Face/Bank.h@L2 | Face/ExitButton.h@L2 | Face/FirmLoadArea-1.h@L28 | Face/IO_rule.h@L19 | Face/Load-1.h@L2 | Face/Load.h@L4 ...
BTN_YES,	ASCII	ascii	22	Face/BuyLandConfirm.h@L2 | Face/Dorm-1.h@L2 | Face/FirmMachineSell.h@L2 | Face/FirmMachineStop.h@L2 | Face/LoadConfirm.h@L2 | Face/MenuConfirm.h@L2 ...
UNUSE_OBJ16,	ASCII	ascii	22	Face/FirmLoadArea_ItemBoard.h@L7 | Face/FirmMachine.h@L15 | Face/MyFirmReport.h@L18 | Face/SalaryAdjust.h@L17 | Face/balance_info.h@L17 | Face/face_machine.h@L17 ...
全電子企業	中文	big5	22	data/txts.csv@L13 | stage/stage00.stg@seg180+0x2 | stage/stage01.stg@seg229+0x2 | stage/stage02.stg@seg943+0x2 | stage/stage03.stg@seg975+0x2 | stage/stage04.stg@seg937+0x2 ...
加樂福企業	中文	big5	22	data/txts.csv@L20 | stage/stage00.stg@seg187+0x2 | stage/stage01.stg@seg236+0x2 | stage/stage02.stg@seg950+0x2 | stage/stage03.stg@seg1396+0x2 | stage/stage04.stg@seg1781+0x2 ...
大牧場企業	中文	big5	22	data/txts.csv@L8 | stage/stage00.stg@seg175+0x2 | stage/stage01.stg@seg224+0x2 | stage/stage02.stg@seg938+0x2 | stage/stage03.stg@seg628+0x2 | stage/stage04.stg@seg348+0x2 ...
大矽谷產業	中文	big5	22	data/txts.csv@L15 | stage/stage00.stg@seg182+0x2 | stage/stage01.stg@seg231+0x2 | stage/stage02.stg@seg945+0x2 | stage/stage03.stg@seg1150+0x2 | stage/stage04.stg@seg1205+0x2 ...
小家電公司	中文	big5	22	data/txts.csv@L14 | stage/stage00.stg@seg181+0x2 | stage/stage01.stg@seg230+0x2 | stage/stage02.stg@seg944+0x2 | stage/stage03.stg@seg1096+0x2 | stage/stage04.stg@seg1046+0x2 ...
文房企業	中文	big5	22	data/txts.csv@L12 | stage/stage00.stg@seg179+0x2 | stage/stage01.stg@seg228+0x2 | stage/stage02.stg@seg942+0x2 | stage/stage03.stg@seg802+0x2 | stage/stage04.stg@seg752+0x2 ...
晶圓機	中文	big5	22	data/Machine_group.csv@L11 | data/Machine_type.csv@L192 | data/Machine_type.csv@L193 | data/Machine_type.csv@L194 | data/Machine_type.csv@L195 | data/Machine_type.csv@L196 ...
書香企業	中文	big5	22	data/txts.csv@L17 | stage/stage00.stg@seg184+0x2 | stage/stage01.stg@seg233+0x2 | stage/stage02.stg@seg947+0x2 | stage/stage03.stg@seg1156+0x2 | stage/stage04.stg@seg1494+0x2 ...
有巢氏實業	中文	big5	22	data/txts.csv@L18 | stage/stage00.stg@seg185+0x2 | stage/stage01.stg@seg234+0x2 | stage/stage02.stg@seg948+0x2 | stage/stage03.stg@seg1157+0x2 | stage/stage04.stg@seg1599+0x2 ...
木造實業	中文	big5	22	data/txts.csv@L11 | stage/stage00.stg@seg178+0x2 | stage/stage01.stg@seg227+0x2 | stage/stage02.stg@seg941+0x2 | stage/stage03.stg@seg726+0x2 | stage/stage04.stg@seg613+0x2 ...
精工企業	中文	big5	22	data/txts.csv@L19 | stage/stage00.stg@seg186+0x2 | stage/stage01.stg@seg235+0x2 | stage/stage02.stg@seg949+0x2 | stage/stage03.stg@seg1312+0x2 | stage/stage04.stg@seg1672+0x2 ...
資源產業	中文	big5	22	data/txts.csv@L10 | stage/stage00.stg@seg177+0x2 | stage/stage01.stg@seg226+0x2 | stage/stage02.stg@seg940+0x2 | stage/stage03.stg@seg680+0x2 | stage/stage04.stg@seg544+0x2 ...
農產公司	中文	big5	22	data/txts.csv@L9 | stage/stage00.stg@seg176+0x2 | stage/stage01.stg@seg225+0x2 | stage/stage02.stg@seg939+0x2 | stage/stage03.stg@seg679+0x2 | stage/stage04.stg@seg442+0x2 ...
陶藝企業	中文	big5	22	data/txts.csv@L16 | stage/stage00.stg@seg183+0x2 | stage/stage01.stg@seg232+0x2 | stage/stage02.stg@seg946+0x2 | stage/stage03.stg@seg1151+0x2 | stage/stage04.stg@seg1360+0x2 ...
0019	数值	ascii	21	stage/stage04.stg@seg814+0x0 | stage/stage06.stg@seg1496+0x0 | stage/stage06.stg@seg1881+0x0 | stage/stage06.stg@seg2253+0x0 | stage/stage06.stg@seg2583+0x0 | stage/stage06.stg@seg2787+0x0 ...
2429	数值	big5	21	data/Machine_type.csv@L122 | data/Machine_type.csv@L123 | data/Machine_type.csv@L124 | data/Machine_type.csv@L125 | data/Machine_type.csv@L126 | data/Machine_type.csv@L147 ...
2699	数值	big5	21	data/Machine_type.csv@L117 | data/Machine_type.csv@L118 | data/Machine_type.csv@L119 | data/Machine_type.csv@L120 | data/Machine_type.csv@L121 | data/Machine_type.csv@L142 ...
2999	数值	big5	21	data/Machine_type.csv@L112 | data/Machine_type.csv@L113 | data/Machine_type.csv@L114 | data/Machine_type.csv@L115 | data/Machine_type.csv@L116 | data/Machine_type.csv@L137 ...
300	数值	big5	21	data/AI_style.csv@L4 | data/Machine_type.csv@L293 | data/Machine_type.csv@L302 | data/Machine_type.csv@L340 | data/building.csv@L71 | data/building.csv@L72 ...
3333	数值	big5	21	data/Machine_type.csv@L107 | data/Machine_type.csv@L108 | data/Machine_type.csv@L109 | data/Machine_type.csv@L110 | data/Machine_type.csv@L111 | data/Machine_type.csv@L132 ...
3704	数值	big5	21	data/Machine_type.csv@L102 | data/Machine_type.csv@L103 | data/Machine_type.csv@L104 | data/Machine_type.csv@L105 | data/Machine_type.csv@L106 | data/Machine_type.csv@L127 ...
44	数值	big5	21	data/Machine_group.csv@L16 | data/Machine_type.csv@L276 | data/Machine_type.csv@L281 | data/Machine_type.csv@L289 | data/Machine_type.csv@L46 | data/Machine_type.csv@L71 ...
55	数值	big5	21	data/Machine_group.csv@L5 | data/Machine_type.csv@L10 | data/Machine_type.csv@L112 | data/Machine_type.csv@L266 | data/Machine_type.csv@L271 | data/Machine_type.csv@L304 ...
58	数值	big5	21	data/Machine_group.csv@L5 | data/Machine_type.csv@L115 | data/Machine_type.csv@L281 | data/Machine_type.csv@L60 | data/Machine_type.csv@L86 | data/Machine_type.csv@L91 ...
64	数值	big5	21	data/Machine_group.csv@L6 | data/Machine_type.csv@L131 | data/Machine_type.csv@L133 | data/Machine_type.csv@L178 | data/Machine_type.csv@L258 | data/Machine_type.csv@L259 ...
75	数值	big5	21	data/AI_style.csv@L7 | data/Machine_group.csv@L9 | data/Machine_type.csv@L162 | data/Machine_type.csv@L77 | data/Machine_type.csv@L78 | data/building.csv@L100 ...
創業王企業	中文	big5	21	stage/stage00.stg@seg1+0x2 | stage/stage01.stg@seg1+0x2 | stage/stage02.stg@seg1+0x2 | stage/stage03.stg@seg1+0x2 | stage/stage04.stg@seg1+0x2 | stage/stage05.stg@seg1+0x2 ...
52	数值	big5	20	data/Machine_group.csv@L5 | data/Machine_type.csv@L104 | data/Machine_type.csv@L131 | data/Machine_type.csv@L54 | data/Machine_type.csv@L8 | data/Machine_type.csv@L91 ...
800	数值	big5	20	data/AI_style.csv@L3 | data/AI_style.csv@L5 | data/AI_style.csv@L6 | data/AI_style.csv@L8 | data/Machine_type.csv@L320 | data/building.csv@L100 ...
BTN_NO,	ASCII	ascii	20	Face/BuyLandConfirm.h@L3 | Face/Dorm-1.h@L3 | Face/FirmMachineSell.h@L3 | Face/FirmMachineStop.h@L3 | Face/LoadConfirm.h@L3 | Face/MenuConfirm.h@L3 ...
鋁礦場	中文	big5	20	data/txts.csv@L39 | stage/stage02.stg@seg726+0x4 | stage/stage06.stg@seg1285+0x4 | stage/stage06.stg@seg5530+0x4 | stage/stage08.stg@seg1299+0x4 | stage/stage08.stg@seg2333+0x4 ...
-30	数值	big5	19	data/build_relation.csv@L12 | data/build_relation.csv@L13 | data/build_relation.csv@L16 | data/build_relation.csv@L17 | data/build_relation.csv@L18 | data/build_relation.csv@L19 ...
0021	数值	ascii	19	stage/stage04.stg@seg753+0x0 | stage/stage06.stg@seg1421+0x0 | stage/stage06.stg@seg1809+0x0 | stage/stage06.stg@seg2186+0x0 | stage/stage06.stg@seg2513+0x0 | stage/stage06.stg@seg3601+0x0 ...
1062	数值	big5	19	data/Machine_type.csv@L227 | data/Machine_type.csv@L228 | data/Machine_type.csv@L229 | data/Machine_type.csv@L230 | data/Machine_type.csv@L231 | data/Machine_type.csv@L252 ...
1180	数值	big5	19	data/Machine_type.csv@L222 | data/Machine_type.csv@L223 | data/Machine_type.csv@L224 | data/Machine_type.csv@L225 | data/Machine_type.csv@L226 | data/Machine_type.csv@L247 ...
1668	数值	big5	19	data/Machine_type.csv@L172 | data/Machine_type.csv@L173 | data/Machine_type.csv@L174 | data/Machine_type.csv@L175 | data/Machine_type.csv@L176 | data/Machine_type.csv@L347 ...
1854	数值	big5	19	data/Machine_type.csv@L167 | data/Machine_type.csv@L168 | data/Machine_type.csv@L169 | data/Machine_type.csv@L170 | data/Machine_type.csv@L171 | data/Machine_type.csv@L342 ...
2124	数值	big5	19	data/Machine_type.csv@L122 | data/Machine_type.csv@L123 | data/Machine_type.csv@L124 | data/Machine_type.csv@L125 | data/Machine_type.csv@L126 | data/Machine_type.csv@L172 ...
2361	数值	big5	19	data/Machine_type.csv@L117 | data/Machine_type.csv@L118 | data/Machine_type.csv@L119 | data/Machine_type.csv@L120 | data/Machine_type.csv@L121 | data/Machine_type.csv@L167 ...
UNUSE_OBJ17,	ASCII	ascii	19	Face/Bank.h@L18 | Face/MyFirmReport.h@L19 | Face/RetailMachine.h@L18 | Face/balance_info.h@L18 | Face/face_machine_introduce.h@L18 | Face/fact_profit_info.h@L18 ...
UNUSE_OBJ18,	ASCII	ascii	19	Face/MyFirmReport.h@L20 | Face/RetailMachine.h@L19 | Face/balance_info.h@L19 | Face/extface_putland.h@L19 | Face/face_machine.h@L19 | Face/face_machine_introduce.h@L19 ...
hLLJ	ASCII	ascii	19	CEO.exe@RVA 675E8 | CEO.exe@RVA 676B1 | CEO.exe@RVA 676C3 | CEO.exe@RVA 676F7 | CEO.exe@RVA 6770D | CEO.exe@RVA 67723 ...
廠房	中文	big5	19	data/building.csv@L100 | data/building.csv@L101 | data/building.csv@L102 | data/building.csv@L103 | data/building.csv@L104 | data/building.csv@L105 ...
71	数值	big5	18	data/Machine_group.csv@L9 | data/Machine_type.csv@L153 | data/Machine_type.csv@L73 | data/building.csv@L75 | data/building.csv@L8 | data/mapcity.csv@L35 ...
111	数值	big5	17	data/Machine_group.csv@L3 | data/Machine_type.csv@L113 | data/Machine_type.csv@L258 | data/Machine_type.csv@L328 | data/Machine_type.csv@L330 | data/Machine_type.csv@L333 ...
1973	数值	big5	17	data/Machine_type.csv@L147 | data/Machine_type.csv@L148 | data/Machine_type.csv@L149 | data/Machine_type.csv@L150 | data/Machine_type.csv@L151 | data/Machine_type.csv@L172 ...
2193	数值	big5	17	data/Machine_type.csv@L142 | data/Machine_type.csv@L143 | data/Machine_type.csv@L144 | data/Machine_type.csv@L145 | data/Machine_type.csv@L146 | data/Machine_type.csv@L167 ...
2437	数值	big5	17	data/Machine_type.csv@L137 | data/Machine_type.csv@L138 | data/Machine_type.csv@L139 | data/Machine_type.csv@L140 | data/Machine_type.csv@L141 | data/Machine_type.csv@L162 ...
2708	数值	big5	17	data/Machine_type.csv@L132 | data/Machine_type.csv@L133 | data/Machine_type.csv@L134 | data/Machine_type.csv@L135 | data/Machine_type.csv@L136 | data/Machine_type.csv@L157 ...
3009	数值	big5	17	data/Machine_type.csv@L127 | data/Machine_type.csv@L128 | data/Machine_type.csv@L129 | data/Machine_type.csv@L130 | data/Machine_type.csv@L131 | data/Machine_type.csv@L152 ...
47	数值	big5	17	data/Machine_group.csv@L16 | data/Machine_type.csv@L3 | data/Machine_type.csv@L49 | data/Machine_type.csv@L89 | data/building.csv@L16 | data/building.csv@L50 ...
49	数值	big5	17	data/Machine_group.csv@L16 | data/Machine_type.csv@L271 | data/Machine_type.csv@L276 | data/Machine_type.csv@L285 | data/Machine_type.csv@L309 | data/Machine_type.csv@L4 ...
62	数值	big5	17	data/Machine_group.csv@L15 | data/Machine_type.csv@L129 | data/Machine_type.csv@L261 | data/Machine_type.csv@L266 | data/Machine_type.csv@L56 | data/Machine_type.csv@L64 ...
86	数值	big5	17	data/Machine_group.csv@L8 | data/Machine_type.csv@L193 | data/Machine_type.csv@L24 | data/Machine_type.csv@L258 | data/Machine_type.csv@L259 | data/Machine_type.csv@L263 ...
